n1,n2,bl1,n1,n2,bl2,n1,n2,bl3,n1,n2,bl4,n1,n2,bl5,loglik,logprior,logdens,logweight
2,6,0.11352132,5,6,0.032947129,3,5,0.10339239,4,5,0.08844195,1,6,0.095622402,-3361.6533,8.6785038,-0.31289798,-3352.6619
2,6,0.11669779,5,6,0.047798717,3,5,0.1007524,4,5,0.091282853,1,6,0.093973269,-3364.6253,9.0101004,-0.31625887,-3355.2989
2,6,0.10362592,5,6,0.055600688,3,5,0.10625479,4,5,0.094970383,1,6,0.11481508,-3362.8996,9.5053373,-0.53957417,-3352.8547
2,6,0.0877583,5,6,0.060867888,3,5,0.088800689,4,5,0.076233439,1,6,0.10610556,-3360.8377,8.3953176,-3.1904659,-3349.2519
2,6,0.1149597,5,6,0.044487182,3,5,0.097302977,4,5,0.086684489,1,6,0.12585734,-3361.2584,9.3858338,-0.32608731,-3351.5464
2,6,0.12000307,5,6,0.055761594,3,5,0.10471638,4,5,0.065817052,1,6,0.10519715,-3370.2186,9.0299049,-0.41656468,-3360.7721
2,6,0.13148226,5,6,0.044534332,3,5,0.07623595,4,5,0.082011925,1,6,0.10008504,-3366.9842,8.68699,-0.77475121,-3357.5225
2,6,0.09189923,5,6,0.035970081,3,5,0.093381259,4,5,0.079230031,1,6,0.10111772,-3356.0302,8.0319665,-2.6305932,-3345.3677
2,6,0.12488032,5,6,0.054875817,3,5,0.092400456,4,5,0.079584747,1,6,0.099787837,-3367.7232,9.0305835,-0.85775336,-3357.8348
2,6,0.097460111,5,6,0.048336897,3,5,0.10144706,4,5,0.090991036,1,6,0.094602438,-3360.3083,8.6567508,-1.6086363,-3350.0429
2,6,0.11091238,5,6,0.068799285,3,5,0.086731083,4,5,0.079379306,1,6,0.084333793,-3371.5123,8.603117,-4.0496554,-3358.8595
2,6,0.10369971,5,6,0.044953018,3,5,0.091688011,4,5,0.10747722,1,6,0.084463698,-3363.4212,8.6456332,-1.2568225,-3353.5188
