mu1,mu2,s1,s2,s3,s4,a1,b1,a2,b2
0.146337,0.0772515,5.58881e-05,8.77342e-06,8.77342e-06,8.73706e-05,83.7828,23.7265,73.1511,922.313
0.0300963,0.092714,3.151e-05,-2.7447e-07,-2.7447e-07,9.93155e-05,20.756,56.5152,86.5078,933.307
0.0303384,0.082529,3.0313e-05,-7.15671e-07,-7.15671e-07,8.74912e-05,22.3768,65.4937,78.1537,945.224
0.0823859,0.0375109,2.68971e-05,1.69472e-06,1.69472e-06,4.59498e-05,102.137,70.1291,30.5436,816.25
0.107763,0.0806552,4.46879e-05,1.30979e-06,1.30979e-06,8.7393e-05,68.607,24.9691,74.9663,926.382
0.102554,0.0821997,4.13207e-05,9.25877e-07,9.25877e-07,8.92994e-05,64.6077,22.3187,75.8475,921.715
0.0292728,0.093077,2.70062e-05,-1.24717e-07,-1.24717e-07,9.89213e-05,22.6353,58.8269,87.6456,941.286
0.082957,0.0929582,3.26426e-05,2.89327e-07,2.89327e-07,9.94337e-05,58.1592,22.5371,86.7162,933.875
0.0680576,0.0361279,3.44054e-05,-3.50779e-07,-3.50779e-07,4.68313e-05,71.4945,82.0987,27.8126,770.672
0.0365412,0.0911095,4.02982e-05,-6.14096e-07,-6.14096e-07,9.83987e-05,23.499,59.7484,84.2158,925.173
0.0548096,0.114302,8.57873e-05,-6.14286e-06,-6.14286e-06,0.000138297,24.0011,54.467,92.6992,820.019
0.124763,0.0801274,4.19599e-05,6.53525e-06,6.53525e-06,8.8369e-05,80.8448,22.8065,75.0343,926.821
0.0480248,0.0378487,1.68477e-05,-1.29617e-07,-1.29617e-07,4.62965e-05,72.5594,82.961,30.9596,817.764
0.0250321,0.0820834,2.42258e-05,-4.14818e-06,-4.14818e-06,8.77208e-05,20.2918,77.5205,79.8823,958.163
0.0440319,0.037524,1.6732e-05,-1.25686e-06,-1.25686e-06,4.58955e-05,68.6455,101.227,31.3367,827.159
0.0677288,0.0955334,2.22808e-05,-7.69033e-08,-7.69033e-08,0.000101194,54.6005,20.0675,90.1841,944.036
0.0936236,0.0357633,3.47388e-05,2.09901e-06,2.09901e-06,4.62191e-05,101.844,69.605,28.3368,784.082
0.0217098,0.0827038,1.7912e-05,-3.24247e-06,-3.24247e-06,8.71341e-05,20.6168,78.2425,77.3975,945.665
0.111888,0.0806284,3.31722e-05,5.40177e-06,5.40177e-06,8.80777e-05,76.1043,19.4764,72.6983,913.08
0.0228763,0.0819243,2.10165e-05,-3.67816e-06,-3.67816e-06,8.7191e-05,19.6178,76.5631,75.5791,934.489
0.0866876,0.092934,3.62655e-05,3.71353e-07,3.71353e-07,9.95312e-05,60.5151,25.3756,86.7506,933.609
0.0397359,0.0909837,4.15123e-05,-7.33757e-07,-7.33757e-07,9.79329e-05,26.4702,62.8728,84.5092,929.002
0.0785187,0.0853373,2.43784e-05,2.82454e-07,2.82454e-07,9.05861e-05,60.6868,19.4766,80.3716,941.951
0.0258324,0.0825969,2.45784e-05,-4.15287e-06,-4.15287e-06,8.82135e-05,21.1667,78.4128,77.7609,942.643
