n1,n2,bl1,n1,n2,bl2,n1,n2,bl3,n1,n2,bl4,n1,n2,bl5,loglik,logprior,logdens,logweight
2,6,0.091600971,5,6,0.03160365,3,5,0.080406379,4,5,0.08493694,1,6,0.10659333,-3354.1984,7.9028253,-0.76904346,-3345.5265
2,6,0.075787654,5,6,0.031163788,3,5,0.090971218,4,5,0.10736433,1,6,0.11535865,-3353.9847,8.4129128,-0.089898638,-3345.4819
2,6,0.12017865,5,6,0.027394246,3,5,0.07605185,4,5,0.09397654,1,6,0.11771259,-3359.8962,8.7062776,-2.4683961,-3348.7215
2,6,0.085744612,5,6,0.031095792,3,5,0.06615093,4,5,0.09141481,1,6,0.10379921,-3355.553,7.5641071,-1.179494,-3346.8094
2,6,0.075615947,5,6,0.019469426,3,5,0.079574583,4,5,0.10241851,1,6,0.11885693,-3355.5685,7.9187079,-1.2426221,-3346.4072
2,6,0.12280249,5,6,0.042707107,3,5,0.091256242,4,5,0.091188685,1,6,0.097909652,-3363.5059,8.9172836,-0.12832694,-3354.4602
2,6,0.11617121,5,6,0.067163464,3,5,0.082859612,4,5,0.092700375,1,6,0.090998812,-3369.9724,8.9978694,-2.7380596,-3358.2365
2,6,0.086580456,5,6,0.019478458,3,5,0.068657654,4,5,0.10916088,1,6,0.097325406,-3360.0358,7.624057,-1.4124162,-3350.9993
2,6,0.073600812,5,6,0.036943301,3,5,0.088797308,4,5,0.081278903,1,6,0.12201184,-3353.7501,8.0526433,-0.85179912,-3344.8456
2,6,0.10015728,5,6,0.04060667,3,5,0.072448122,4,5,0.087059605,1,6,0.10998012,-3356.3668,8.205036,-1.4544549,-3346.7073
2,6,0.048914416,5,6,0.066699077,3,5,0.0697154,4,5,0.099783551,1,6,0.030624753,-3437.1312,6.3147439,-0.75271292,-3430.0637
2,6,0.074273107,5,6,0.0395672,3,5,0.086739376,4,5,0.10542033,1,6,0.11630756,-3353.8878,8.4461515,-0.92488636,-3344.5167
2,6,0.057698638,5,6,0.033945977,3,5,0.076647928,4,5,0.084076346,1,6,0.1235554,-3356.5347,7.5184858,-0.37063185,-3348.6456
2,6,0.035372023,5,6,0.061382199,3,5,0.073156894,4,5,0.10974501,1,6,0.045580835,-3419.4427,6.5047393,-0.99935973,-3411.9386
2,6,0.061676564,5,6,0.061831099,3,5,0.038359891,4,5,0.036708634,1,6,0.14168955,-3413.3789,6.8053147,-2.0662125,-3404.5073
2,6,0.092069307,5,6,0.023430275,3,5,0.089265166,4,5,0.080601961,1,6,0.096166808,-3357.7192,7.6306703,-0.73268431,-3349.3559
2,6,0.050599894,5,6,0.0619363,3,5,0.081531822,4,5,0.10028132,1,6,0.039081462,-3414.5058,6.6686159,-0.75240541,-3407.0847
2,6,0.097107281,5,6,0.03409894,3,5,0.085325534,4,5,0.10309925,1,6,0.13236334,-3355.2653,9.0398869,-2.0523801,-3344.173
2,6,0.039745307,5,6,0.065691118,3,5,0.11814281,4,5,0.093688243,1,6,0.09284397,-3382.1868,8.202229,-0.3686231,-3373.6159
2,6,0.081654613,5,6,0.041959926,3,5,0.079063436,4,5,0.10098667,1,6,0.10454595,-3354.4088,8.1642118,-0.67667646,-3345.5679
2,6,0.038420932,5,6,0.058217184,3,5,0.1157905,4,5,0.088682276,1,6,0.09898715,-3378.5863,8.0019607,-0.61713398,-3369.9672
2,6,0.065744679,5,6,0.03673066,3,5,0.075305658,4,5,0.097186854,1,6,0.12226207,-3353.9769,7.9445983,-2.1742297,-3343.858
2,6,0.066964769,5,6,0.03897721,3,5,0.1037904,4,5,0.073618128,1,6,0.12305263,-3358.0026,8.1280627,-1.0202737,-3348.8543
2,6,0.094496106,5,6,0.028864187,3,5,0.083352276,4,5,0.1151862,1,6,0.089972938,-3359.7162,8.2374341,-0.76500419,-3350.7137
2,6,0.085545652,5,6,0.035116983,3,5,0.09199406,4,5,0.10610176,1,6,0.13573161,-3355.0333,9.0898011,-0.96977071,-3344.9738
2,6,0.092499636,5,6,0.022018425,3,5,0.081384181,4,5,0.10429528,1,6,0.071878145,-3367.5502,7.4415134,-0.68498053,-3359.4237
2,6,0.10763806,5,6,0.0660805,3,5,0.032224196,4,5,0.069536551,1,6,0.1289887,-3394.8891,8.0893601,-0.067644051,-3386.7321
2,6,0.07584419,5,6,0.025634875,3,5,0.082594828,4,5,0.126295,1,6,0.082450503,-3364.4972,7.8563879,-0.96315818,-3355.6776
2,6,0.094614037,5,6,0.033700028,3,5,0.095455774,4,5,0.088439593,1,6,0.13011699,-3355.0078,8.8465284,-0.24315064,-3345.9181
2,6,0.085957301,5,6,0.034765216,3,5,0.099450013,4,5,0.092863082,1,6,0.09580484,-3356.3568,8.176809,-0.40217484,-3347.7778
2,6,0.10286873,5,6,0.028812661,3,5,0.092795538,4,5,0.12500382,1,6,0.11116743,-3360.1983,9.2129637,-2.1766145,-3348.8087
2,6,0.033921157,5,6,0.068774399,3,5,0.081052044,4,5,0.099821732,1,6,0.04320446,-3426.8086,6.5354758,-2.2339833,-3418.0392
2,6,0.045155868,5,6,0.064682313,3,5,0.081843398,4,5,0.10012216,1,6,0.036842689,-3424.3871,6.5729286,-0.020725229,-3417.7934
2,6,0.1022847,5,6,0.035034491,3,5,0.086525365,4,5,0.087401628,1,6,0.081270732,-3361.608,7.8503383,-0.095380739,-3353.6622
2,6,0.10148646,5,6,0.031441795,3,5,0.072293742,4,5,0.087131336,1,6,0.11117228,-3355.9376,8.0705123,-0.75147655,-3347.1156
2,6,0.10683383,5,6,0.045162691,3,5,0.085099758,4,5,0.09589032,1,6,0.10511641,-3358.4159,8.76206,-0.34629945,-3349.3076
2,6,0.087508725,5,6,0.01307902,3,5,0.067212302,4,5,0.08487389,1,6,0.1148339,-3361.8201,7.3501568,-4.7184337,-3349.7515
