mu1,mu2,s1,s2,s3,s4,a1,b1,a2,b2
0.0888494,0.0356621,3.20385e-05,1.85191e-06,1.85191e-06,4.77837e-05,0,0,0,0
0.0555156,0.0368582,1.76588e-05,3.86952e-08,3.86952e-08,4.50227e-05,0,0,0,0
0.0764729,0.0350501,3.34889e-05,2.46204e-07,2.46204e-07,4.57001e-05,0,0,0,0
0.0572064,0.0351026,2.41485e-05,-2.26405e-07,-2.26405e-07,4.64475e-05,0,0,0,0
0.0786334,0.120425,3.51484e-05,2.18634e-06,2.18634e-06,0.000140092,0,0,0,0
0.0357254,0.09179,3.85483e-05,-5.31841e-07,-5.31841e-07,9.8829e-05,0,0,0,0
0.0335526,0.092408,3.49669e-05,-3.88937e-07,-3.88937e-07,9.91012e-05,0,0,0,0
0.0954098,0.0828955,2.46498e-05,4.11611e-06,4.11611e-06,8.83802e-05,0,0,0,0
0.0408875,0.0908971,4.5675e-05,-8.48295e-07,-8.48295e-07,9.84552e-05,0,0,0,0
0.0581834,0.0343824,1.96273e-05,6.25276e-08,6.25276e-08,4.50661e-05,0,0,0,0
0.0930859,0.0366191,3.39322e-05,2.13096e-06,2.13096e-06,4.57653e-05,0,0,0,0
0.0176776,0.0842228,1.34048e-05,-2.67002e-06,-2.67002e-06,8.82827e-05,0,0,0,0
0.0290834,0.0832296,2.73188e-05,-5.80212e-07,-5.80212e-07,8.77782e-05,0,0,0,0
0.0428488,0.11624,5.35691e-05,-4.07456e-06,-4.07456e-06,0.000136294,0,0,0,0
0.0835182,0.119974,3.99148e-05,2.40132e-06,2.40132e-06,0.000140492,0,0,0,0
0.0521792,0.114487,7.74423e-05,-5.72861e-06,-5.72861e-06,0.000137252,0,0,0,0
0.123483,0.0790912,3.98745e-05,6.34455e-06,6.34455e-06,8.70112e-05,0,0,0,0
0.0593721,0.0332775,2.05109e-05,7.80251e-08,7.80251e-08,4.50763e-05,0,0,0,0
0.0398055,0.117229,4.77531e-05,-3.6062e-06,-3.6062e-06,0.000136957,0,0,0,0
0.0806531,0.119754,3.6288e-05,2.48573e-06,2.48573e-06,0.000139546,0,0,0,0
0.0247484,0.0939188,2.42809e-05,-6.34213e-08,-6.34213e-08,9.99747e-05,0,0,0,0
0.0473659,0.038337,1.66312e-05,-1.89144e-07,-1.89144e-07,4.79422e-05,0,0,0,0
0.0650227,0.0353078,2.42625e-05,1.24365e-07,1.24365e-07,4.52869e-05,0,0,0,0
0.0467649,0.0365224,1.60705e-05,-1.45806e-07,-1.45806e-07,4.6569e-05,0,0,0,0
0.0703043,0.0345982,2.85343e-05,1.54002e-07,1.54002e-07,4.53267e-05,0,0,0,0
0.0227992,0.0821165,2.02426e-05,-3.56674e-06,-3.56674e-06,8.7094e-05,0,0,0,0
0.0493136,0.0359639,1.77883e-05,-1.38599e-07,-1.38599e-07,4.60231e-05,0,0,0,0
0.042998,0.0374332,1.57457e-05,-1.1549e-06,-1.1549e-06,4.56908e-05,0,0,0,0
0.0172407,0.0842725,1.34031e-05,-2.69342e-06,-2.69342e-06,8.85108e-05,0,0,0,0
0.0244921,0.0819253,2.25275e-05,-3.89559e-06,-3.89559e-06,8.71165e-05,0,0,0,0
0.0221066,0.082218,1.96568e-05,-3.49098e-06,-3.49098e-06,8.72389e-05,0,0,0,0
0.0678583,0.0343863,2.66159e-05,1.34441e-07,1.34441e-07,4.5272e-05,0,0,0,0
0.103574,0.0339557,4.23042e-05,2.56586e-06,2.56586e-06,4.62134e-05,0,0,0,0
0.0560221,0.0367054,1.79041e-05,6.2244e-08,6.2244e-08,4.51237e-05,0,0,0,0
0.02083,0.0830696,1.59617e-05,-2.95193e-06,-2.95193e-06,8.7026e-05,0,0,0,0
0.0527609,0.0356314,1.61758e-05,8.35693e-09,8.35693e-09,4.50467e-05,0,0,0,0
0.0313701,0.0820246,2.88919e-05,-6.62088e-07,-6.62088e-07,8.64368e-05,0,0,0,0
0.0216993,0.082203,1.8822e-05,-3.34217e-06,-3.34217e-06,8.71241e-05,0,0,0,0
0.0274178,0.0835972,2.59335e-05,-5.3401e-07,-5.3401e-07,8.81115e-05,0,0,0,0
0.0685195,0.0954107,2.28476e-05,-7.78366e-08,-7.78366e-08,0.00010077,0,0,0,0
0.0317638,0.092647,3.26036e-05,-3.11378e-07,-3.11378e-07,9.91643e-05,0,0,0,0
0.0211073,0.0828558,1.96715e-05,-3.5715e-06,-3.5715e-06,8.81857e-05,0,0,0,0
0.0950233,0.0826408,3.50093e-05,7.93984e-07,7.93984e-07,8.86795e-05,0,0,0,0
0.0838973,0.0836404,2.71093e-05,5.03729e-07,5.03729e-07,8.8169e-05,0,0,0,0
0.0856689,0.0848392,2.95634e-05,2.57982e-07,2.57982e-07,9.08892e-05,0,0,0,0
0.0836438,0.0836756,2.69682e-05,5.35901e-07,5.35901e-07,8.84339e-05,0,0,0,0
0.0210788,0.0825516,1.81777e-05,-3.29097e-06,-3.29097e-06,8.73717e-05,0,0,0,0
0.0845891,0.0940076,3.59603e-05,1.75447e-07,1.75447e-07,0.000100807,0,0,0,0
0.0787878,0.0848265,2.42174e-05,3.53704e-07,3.53704e-07,8.96155e-05,0,0,0,0
0.0885008,0.0368118,3.11626e-05,1.88113e-06,1.88113e-06,4.63901e-05,0,0,0,0
0.0420751,0.117914,5.15864e-05,-3.46064e-06,-3.46064e-06,0.000138843,0,0,0,0
0.0946958,0.0828618,3.49154e-05,7.30199e-07,7.30199e-07,8.8886e-05,0,0,0,0
0.0464095,0.115683,6.32624e-05,-4.67775e-06,-4.67775e-06,0.000137057,0,0,0,0
0.0838247,0.0359874,2.81541e-05,1.72478e-06,1.72478e-06,4.64688e-05,0,0,0,0
0.0597582,0.0368048,2.60471e-05,-1.81373e-07,-1.81373e-07,4.57657e-05,0,0,0,0
0.0645827,0.0349084,2.38913e-05,1.41188e-07,1.41188e-07,4.53965e-05,0,0,0,0
0.0595703,0.0322305,2.05886e-05,1.11815e-07,1.11815e-07,4.5131e-05,0,0,0,0
0.107385,0.081384,3.07999e-05,5.03053e-06,5.03053e-06,8.81502e-05,0,0,0,0
0.0915788,0.0831179,3.25578e-05,6.61932e-07,6.61932e-07,8.87522e-05,0,0,0,0
0.0422253,0.116257,5.40491e-05,-4.0583e-06,-4.0583e-06,0.000136616,0,0,0,0
0.019366,0.0834154,1.47307e-05,-2.79965e-06,-2.79965e-06,8.74179e-05,0,0,0,0
0.0381044,0.0921183,3.99486e-05,-5.51857e-07,-5.51857e-07,9.909e-05,0,0,0,0
0.0506952,0.0356207,1.89153e-05,-1.73642e-07,-1.73642e-07,4.64566e-05,0,0,0,0
0.0585345,0.0359535,2.0244e-05,-2.81848e-08,-2.81848e-08,4.5738e-05,0,0,0,0
0.0223815,0.0831642,1.87265e-05,-3.36893e-06,-3.36893e-06,8.76854e-05,0,0,0,0
0.0640318,0.0346542,2.34257e-05,1.57059e-07,1.57059e-07,4.55476e-05,0,0,0,0
0.0422374,0.0367628,1.53932e-05,-1.16229e-06,-1.16229e-06,4.58445e-05,0,0,0,0
0.0836584,0.0936521,3.4319e-05,2.2405e-07,2.2405e-07,0.000100218,0,0,0,0
0.0233714,0.0820209,2.07903e-05,-3.63907e-06,-3.63907e-06,8.69914e-05,0,0,0,0
0.0984796,0.0820422,3.7474e-05,9.27995e-07,9.27995e-07,8.82296e-05,0,0,0,0
0.0677089,0.0350966,2.64031e-05,1.31896e-07,1.31896e-07,4.52755e-05,0,0,0,0
0.094814,0.0821964,3.45646e-05,8.38944e-07,8.38944e-07,8.77055e-05,0,0,0,0
0.117746,0.0802268,3.67588e-05,5.87197e-06,5.87197e-06,8.77031e-05,0,0,0,0
0.0478866,0.0354515,1.67458e-05,-1.22387e-07,-1.22387e-07,4.58086e-05,0,0,0,0
0.121128,0.0797703,3.8771e-05,6.17092e-06,6.17092e-06,8.76734e-05,0,0,0,0
0.0439464,0.116381,5.57779e-05,-4.19176e-06,-4.19176e-06,0.000136785,0,0,0,0
