t logl dlogl ddlogl
0.206 -21.8045 -5.90007 4.92893
0.207 -21.8104 -5.89514 4.92716
0.208 -21.8163 -5.89021 4.92538
0.209 -21.8222 -5.88529 4.9236
0.21 -21.8281 -5.88037 4.9218
0.211 -21.834 -5.87545 4.91999
0.212 -21.8398 -5.87053 4.91818
0.213 -21.8457 -5.86561 4.91635
0.214 -21.8516 -5.86069 4.91452
0.215 -21.8574 -5.85578 4.91267
0.216 -21.8633 -5.85087 4.91082
0.217 -21.8691 -5.84596 4.90895
0.218 -21.875 -5.84105 4.90708
0.219 -21.8808 -5.83614 4.9052
0.22 -21.8867 -5.83124 4.9033
0.221 -21.8925 -5.82634 4.9014
0.222 -21.8983 -5.82144 4.89949
0.223 -21.9041 -5.81654 4.89757
0.224 -21.9099 -5.81164 4.89564
0.225 -21.9157 -5.80675 4.8937
0.226 -21.9216 -5.80185 4.89175
0.227 -21.9274 -5.79696 4.88979
0.228 -21.9331 -5.79207 4.88783
0.229 -21.9389 -5.78719 4.88585
0.23 -21.9447 -5.7823 4.88386
0.231 -21.9505 -5.77742 4.88187
0.232 -21.9563 -5.77254 4.87986
0.233 -21.962 -5.76766 4.87785
0.234 -21.9678 -5.76278 4.87582
0.235 -21.9736 -5.75791 4.87379
0.236 -21.9793 -5.75304 4.87175
0.237 -21.9851 -5.74817 4.8697
0.238 -21.9908 -5.7433 4.86764
0.239 -21.9966 -5.73843 4.86557
0.24 -22.0023 -5.73357 4.86349
0.241 -22.008 -5.7287 4.8614
0.242 -22.0138 -5.72384 4.85931
0.243 -22.0195 -5.71898 4.8572
0.244 -22.0252 -5.71413 4.85508
0.245 -22.0309 -5.70927 4.85296
0.246 -22.0366 -5.70442 4.85083
0.247 -22.0423 -5.69957 4.84869
0.248 -22.048 -5.69473 4.84654
0.249 -22.0537 -5.68988 4.84438
0.25 -22.0594 -5.68504 4.84221
0.251 -22.0651 -5.6802 4.84003
0.252 -22.0708 -5.67536 4.83784
0.253 -22.0764 -5.67052 4.83565
0.254 -22.0821 -5.66568 4.83344
0.255 -22.0878 -5.66085 4.83123
0.256 -22.0934 -5.65602 4.82901
0.257 -22.0991 -5.65119 4.82678
0.258 -22.1047 -5.64637 4.82454
0.259 -22.1104 -5.64155 4.82229
0.26 -22.116 -5.63672 4.82003
0.261 -22.1216 -5.63191 4.81777
0.262 -22.1273 -5.62709 4.8155
0.263 -22.1329 -5.62227 4.81321
0.264 -22.1385 -5.61746 4.81092
0.265 -22.1441 -5.61265 4.80862
0.266 -22.1497 -5.60785 4.80631
0.267 -22.1553 -5.60304 4.80399
0.268 -22.1609 -5.59824 4.80167
0.269 -22.1665 -5.59344 4.79933
0.27 -22.1721 -5.58864 4.79699
0.271 -22.1777 -5.58384 4.79464
0.272 -22.1833 -5.57905 4.79228
0.273 -22.1889 -5.57426 4.78991
0.274 -22.1944 -5.56947 4.78754
0.275 -22.2 -5.56468 4.78515
0.276 -22.2056 -5.5599 4.78276
0.277 -22.2111 -5.55512 4.78036
0.278 -22.2167 -5.55034 4.77795
0.279 -22.2222 -5.54556 4.77553
0.28 -22.2278 -5.54079 4.7731
0.281 -22.2333 -5.53602 4.77067
0.282 -22.2388 -5.53125 4.76822
0.283 -22.2444 -5.52648 4.76577
0.284 -22.2499 -5.52171 4.76331
0.285 -22.2554 -5.51695 4.76084
0.286 -22.2609 -5.51219 4.75837
0.287 -22.2664 -5.50744 4.75588
0.288 -22.2719 -5.50268 4.75339
0.289 -22.2774 -5.49793 4.75089
0.29 -22.2829 -5.49318 4.74838
0.291 -22.2884 -5.48843 4.74587
0.292 -22.2939 -5.48369 4.74334
0.293 -22.2994 -5.47895 4.74081
0.294 -22.3049 -5.47421 4.73827
0.295 -22.3104 -5.46947 4.73572
0.296 -22.3158 -5.46473 4.73316
0.297 -22.3213 -5.46 4.7306
0.298 -22.3267 -5.45527 4.72803
0.299 -22.3322 -5.45055 4.72545
0.3 -22.3376 -5.44582 4.72286
0.301 -22.3431 -5.4411 4.72026
0.302 -22.3485 -5.43638 4.71766
0.303 -22.354 -5.43167 4.71505
0.304 -22.3594 -5.42695 4.71243
0.305 -22.3648 -5.42224 4.7098
0.306 -22.3702 -5.41753 4.70717
0.307 -22.3756 -5.41283 4.70453
0.308 -22.3811 -5.40812 4.70188
0.309 -22.3865 -5.40342 4.69922
0.31 -22.3919 -5.39872 4.69656
0.311 -22.3973 -5.39403 4.69388
0.312 -22.4026 -5.38934 4.6912
0.313 -22.408 -5.38465 4.68852
0.314 -22.4134 -5.37996 4.68582
0.315 -22.4188 -5.37528 4.68312
0.316 -22.4242 -5.37059 4.68041
0.317 -22.4295 -5.36591 4.67769
0.318 -22.4349 -5.36124 4.67497
0.319 -22.4403 -5.35656 4.67223
0.32 -22.4456 -5.35189 4.66949
0.321 -22.451 -5.34723 4.66675
0.322 -22.4563 -5.34256 4.66399
0.323 -22.4616 -5.3379 4.66123
0.324 -22.467 -5.33324 4.65846
0.325 -22.4723 -5.32858 4.65569
0.326 -22.4776 -5.32393 4.6529
0.327 -22.483 -5.31927 4.65011
0.328 -22.4883 -5.31463 4.64732
0.329 -22.4936 -5.30998 4.64451
0.33 -22.4989 -5.30534 4.6417
0.331 -22.5042 -5.3007 4.63888
0.332 -22.5095 -5.29606 4.63605
0.333 -22.5148 -5.29142 4.63322
0.334 -22.5201 -5.28679 4.63038
0.335 -22.5254 -5.28216 4.62753
0.336 -22.5306 -5.27754 4.62468
0.337 -22.5359 -5.27291 4.62182
0.338 -22.5412 -5.26829 4.61895
0.339 -22.5465 -5.26368 4.61608
0.34 -22.5517 -5.25906 4.61319
0.341 -22.557 -5.25445 4.61031
0.342 -22.5622 -5.24984 4.60741
0.343 -22.5675 -5.24524 4.60451
0.344 -22.5727 -5.24063 4.6016
0.345 -22.578 -5.23603 4.59868
0.346 -22.5832 -5.23144 4.59576
0.347 -22.5884 -5.22684 4.59283
0.348 -22.5936 -5.22225 4.5899
0.349 -22.5989 -5.21766 4.58695
0.35 -22.6041 -5.21308 4.58401
0.351 -22.6093 -5.20849 4.58105
0.352 -22.6145 -5.20391 4.57809
0.353 -22.6197 -5.19934 4.57512
0.354 -22.6249 -5.19476 4.57214
0.355 -22.6301 -5.19019 4.56916
0.356 -22.6353 -5.18562 4.56617
0.357 -22.6405 -5.18106 4.56318
0.358 -22.6456 -5.1765 4.56018
0.359 -22.6508 -5.17194 4.55717
0.36 -22.656 -5.16738 4.55416
0.361 -22.6611 -5.16283 4.55114
0.362 -22.6663 -5.15828 4.54811
0.363 -22.6715 -5.15374 4.54508
0.364 -22.6766 -5.14919 4.54204
0.365 -22.6818 -5.14465 4.539
0.366 -22.6869 -5.14011 4.53594
