tree tree0 logl logliknew logTop logProp logPrior logWt
(1,2,(3,((4,6),5))); (4,(5,((2,1),3)),6); -4536.64 -4536.64 -1.66192 27.3193 13.4351 -4548.86
(1,2,(3,(4,(5,6)))); ((5,6),4,(3,(1,2))); -4534.88 -4534.88 -1.00705 29.7784 13.9178 -4549.73
(1,(2,3),((4,6),5)); ((4,6),5,((3,2),1)); -4544.6 -4544.6 -1.90918 28.0348 13.5491 -4557.18
(1,(2,3),(4,(5,6))); (3,2,((4,(6,5)),1)); -4536.47 -4536.47 -1.2543 30.7455 13.6121 -4552.35
(1,(2,3),((4,6),5)); ((5,(1,(2,3))),4,6); -4540.62 -4540.62 -1.90918 31.229 13.3245 -4556.61
(1,(2,3),(4,(5,6))); (6,5,(4,((2,3),1))); -4539.35 -4539.35 -1.2543 27.8399 13.3052 -4552.63
(1,2,(3,(4,(5,6)))); (5,(4,((2,1),3)),6); -4532.76 -4532.76 -1.00705 31.4534 13.8086 -4549.4
(1,(2,3),((4,6),5)); ((5,(1,(2,3))),4,6); -4542.16 -4542.16 -1.90918 30.2696 13.8872 -4556.63
(1,(2,3),(4,(5,6))); (6,5,(((2,3),1),4)); -4537.41 -4537.41 -1.2543 30.1449 13.8929 -4552.41
(1,2,(3,(4,(5,6)))); ((5,6),4,(3,(1,2))); -4536.12 -4536.12 -1.00705 27.0098 13.1881 -4548.93
(1,2,(3,(4,(5,6)))); ((5,6),4,(3,(1,2))); -4532.25 -4532.25 -1.00705 31.2024 13.7305 -4548.71
(1,2,(3,(4,(5,6)))); ((3,(1,2)),(5,6),4); -4538.44 -4538.44 -1.00705 26.031 14.1129 -4549.35
(1,2,(3,(4,(5,6)))); (4,(5,6),(3,(1,2))); -4532.14 -4532.14 -1.00705 31.8814 13.7872 -4549.23
(1,2,(3,((4,6),5))); ((3,(5,(4,6))),1,2); -4533.9 -4533.9 -1.66192 30.0255 13.4514 -4548.81
(1,2,(3,(4,(5,6)))); (2,1,((4,(5,6)),3)); -4534.7 -4534.7 -1.00705 29.0424 13.4388 -4549.29
(1,2,(3,(4,(5,6)))); ((6,5),(3,(2,1)),4); -4538.77 -4538.77 -1.00705 25.4344 13.5958 -4549.6
(1,(2,3),(4,(5,6))); (1,(2,3),(4,(5,6))); -4539.98 -4539.98 -1.2543 27.2283 13.6459 -4552.31
(1,(2,(4,(5,6))),3); (6,5,(((1,3),2),4)); -4538.67 -4538.67 -4.94989 29.2175 13.6901 -4549.25
(1,2,(3,((4,6),5))); (1,2,((5,(6,4)),3)); -4534.2 -4534.2 -1.66192 29.2155 13.3016 -4548.46
(1,(2,3),(4,(5,6))); (4,(5,6),((2,3),1)); -4539.65 -4539.65 -1.2543 27.112 13.7442 -4551.76
(1,(2,3),((4,6),5)); (((5,(6,4)),1),3,2); -4540.97 -4540.97 -1.90918 31.5491 13.8638 -4556.75
(1,(2,(4,(5,6))),3); (3,1,((4,(6,5)),2)); -4540.56 -4540.56 -4.94989 27.1736 13.7389 -4549.05
(1,2,(3,(4,(5,6)))); (((3,(2,1)),4),5,6); -4533.26 -4533.26 -1.00705 30.3462 13.5642 -4549.03
(1,2,(3,((4,6),5))); ((3,((4,6),5)),2,1); -4535.96 -4535.96 -1.66192 28.1217 13.645 -4548.77
(1,2,(3,((4,6),5))); (5,(4,6),(3,(2,1))); -4534.69 -4534.69 -1.66192 29.4466 13.3234 -4549.15
(1,(2,3),(4,(5,6))); ((4,(1,(3,2))),6,5); -4541.67 -4541.67 -1.2543 24.6505 13.1789 -4551.89
(1,2,(3,(4,(5,6)))); (((4,(5,6)),3),2,1); -4531.93 -4531.93 -1.00705 31.5028 13.4 -4549.02
(1,2,(3,((4,6),5))); (((1,2),3),5,(4,6)); -4535.28 -4535.28 -1.66192 29.3628 14.2308 -4548.75
(1,2,(3,((4,6),5))); ((3,(1,2)),(6,4),5); -4531.27 -4531.27 -1.66192 32.3031 13.4446 -4548.47
(1,2,(3,(4,(5,6)))); ((((1,2),3),4),6,5); -4538.57 -4538.57 -1.00705 24.6532 13.0944 -4549.13
(1,2,(3,(4,(5,6)))); ((4,(6,5)),3,(2,1)); -4534.57 -4534.57 -1.00705 29.2881 13.5585 -4549.29
(1,2,(3,((4,6),5))); (2,1,(((4,6),5),3)); -4535.06 -4535.06 -1.66192 28.0343 12.9176 -4548.52
(1,(2,3),(4,(5,6))); (((4,(5,6)),1),2,3); -4536.93 -4536.93 -1.2543 30.5968 13.4441 -4552.82
